goal_type,horizon_steps,horizon_seconds,policy_seed,episodes,evaluation_seed_start,success,success_ci_low,success_ci_high,final_reward,max_reward,teacher_action_mae,validation_action_mae,one_step_object_subgoal_error_m,one_step_yaw_subgoal_error_rad,one_step_tcp_subgoal_error_m,valid_goal_action_sensitivity_l2,replay_current_state_error_max,success_fraction_of_full
flat,2,0.1,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.42598776107188313,0.4342603087425232,0.1578602475959216,0.054262638092041016,,,,,0.0,0.3333333333333333
full,2,0.1,0,20,1600000,0.75,0.531299122381256,0.8881382985923343,0.8246988862752914,0.8260342173278332,0.02947786294209416,0.022242534905672073,0.004167735267969621,0.03075754965701552,0.02092552122724989,1.850005865097046,0.0,1.0
robot,2,0.1,0,20,1600000,0.6,0.3865815007622531,0.781193467627183,0.721566291898489,0.7249681763350964,0.029294617014950928,0.02238868735730648,0.0037942275558014715,0.027438724498486364,0.018603504597443785,2.0849204063415527,0.0,0.7999999999999999
tcp,2,0.1,0,20,1600000,0.5,0.2992980081982123,0.7007019918017877,0.6494352862238884,0.6514408364892006,0.06050071258070162,0.04229417070746422,0.003564640114426148,0.025361367910898748,0.017645361333719325,0.7740233540534973,0.0,0.6666666666666666
object,2,0.1,0,20,1600000,0.4,0.21880653237281705,0.6134184992377469,0.5544051473494619,0.5711643166840077,0.11308066142042247,0.048716962337493896,0.003748576702709233,0.024596235331367042,0.024360787799987373,0.4424525201320648,0.0,0.5333333333333333
object_pose,2,0.1,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.4438264284282923,0.46260284036397936,0.13528938961080342,0.05050069838762283,0.004052406535446005,0.030589593527973562,0.022641473069446003,0.6816731691360474,0.0,0.3333333333333333
flat,5,0.25,0,20,1600000,0.2,0.08065766257979806,0.41601743225189364,0.3974112754687667,0.4137606717646122,0.1809187779929791,0.05716070532798767,,,,,0.0,0.36363636363636365
full,5,0.25,0,20,1600000,0.55,0.34208534245034233,0.7418021417443759,0.6734771586023272,0.6895738333463669,0.09312779093680991,0.047562748193740845,0.01810013391834173,0.12592292407785322,0.06751461925497826,0.8008733987808228,0.0,1.0
robot,5,0.25,0,20,1600000,0.3,0.1454772448676043,0.5189728183535235,0.5122886069118977,0.516689307242632,0.05897263471400861,0.050260987132787704,0.011784167394287053,0.09011000641704311,0.05380404281070712,0.7398008108139038,0.0,0.5454545454545454
tcp,5,0.25,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.4484005205333233,0.4540067330002785,0.0921618085829997,0.05445728451013565,0.00981111973320885,0.0787907667926975,0.058163294344375206,0.4561496376991272,0.0,0.45454545454545453
object,5,0.25,0,20,1600000,0.15,0.052368745896216595,0.36041886474075696,0.3781639030203223,0.3991486120969057,0.10826742585281504,0.05179428681731224,0.011428716033106074,0.08235209150600173,0.062470692930342145,0.4261920750141144,0.0,0.2727272727272727
object_pose,5,0.25,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.456589937582612,0.47296690493822097,0.098661370252866,0.05380506440997124,0.013133534850705559,0.09179614313532797,0.05753993986361187,0.35159221291542053,0.0,0.45454545454545453
flat,10,0.5,0,20,1600000,0.0,0.0,0.16112515805281938,0.2580178342759609,0.2697214614599943,0.1600788903059438,0.06205778196454048,,,,,0.0,0.0
full,10,0.5,0,20,1600000,0.4,0.21880653237281705,0.6134184992377469,0.5458408407866955,0.5610273542813957,0.13763497224213947,0.05644296482205391,0.04432112757892096,0.24325197050943398,0.12041881261043587,0.5463869571685791,0.0,1.0
robot,10,0.5,0,20,1600000,0.35,0.18119182410108206,0.5671457233147638,0.5167765595018864,0.5321027398109436,0.13405488469929358,0.05969947949051857,0.03379263270171975,0.2669601739718019,0.11658568372678864,0.41642144322395325,0.0,0.8749999999999999
tcp,10,0.5,0,20,1600000,0.5,0.2992980081982123,0.7007019918017877,0.6188691347837448,0.626248998567462,0.11339494564690697,0.06089833006262779,0.024008968819883084,0.19594230575713806,0.109701326091824,0.3018067479133606,0.0,1.25
object,10,0.5,0,20,1600000,0.2,0.08065766257979806,0.41601743225189364,0.40310165788978336,0.4183719726279378,0.14167202992811184,0.05782410129904747,0.023110754687523376,0.162054206385757,0.11160025212294153,0.4201738238334656,0.0,0.5
object_pose,10,0.5,0,20,1600000,0.2,0.08065766257979806,0.41601743225189364,0.41845168098807334,0.4288081914186478,0.12615922523414827,0.058859486132860184,0.02237435769990245,0.18240399317770878,0.10390373457900155,0.20314013957977295,0.0,0.5
flat,20,1.0,0,20,1600000,0.2,0.08065766257979806,0.41601743225189364,0.37130337944254277,0.3908486574888229,0.1847772031591848,0.06981690227985382,,,,,0.0,1.0
full,20,1.0,0,20,1600000,0.2,0.08065766257979806,0.41601743225189364,0.41032878309488297,0.42214510813355444,0.16494367110011515,0.06762770563364029,0.03026893618227406,0.28060295202272356,0.11551046873374503,0.39928701519966125,0.0,1.0
robot,20,1.0,0,20,1600000,0.15,0.052368745896216595,0.36041886474075696,0.3711933109909296,0.3895054943859577,0.15463929760347842,0.07000681757926941,0.030100447576934964,0.27885402854401636,0.12466727926870877,0.26705771684646606,0.0,0.7499999999999999
tcp,20,1.0,0,20,1600000,0.05,0.008881448800795402,0.23613119344674205,0.2675359908374958,0.28210003226995467,0.18179250653186543,0.07072703540325165,0.03105177107336497,0.2871070941811321,0.12855545968558094,0.2595405578613281,0.0,0.25
object,20,1.0,0,20,1600000,0.25,0.11186170140766569,0.468700877618744,0.4163666689535603,0.4314922258257866,0.1844715063423962,0.06631726771593094,0.04422630997604114,0.40020256154260475,0.1299945440738669,0.3505077660083771,0.0,1.25
object_pose,20,1.0,0,20,1600000,0.1,0.027866481213768224,0.3010336452284873,0.3017907558940351,0.3306614860892296,0.16867867432642816,0.07008857280015945,0.038437006011391404,0.35510532384182975,0.14176995965410583,0.10973521322011948,0.0,0.5
